component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C14001,L8,TypeB,31.05,1.21,13.18,15.18,18.18,23.18,1.32,1.52,1.82,2.32,Latent_Defect,50
C14002,L8,TypeA,30.52,1.05,8.35,10.35,13.35,18.35,0.83,1.03,1.33,1.83,Latent_Defect,50
C14003,L8,TypeA,34.44,1.18,13.88,13.88,13.88,13.88,1.39,1.39,1.39,1.39,High_Stable,50
C14004,L8,TypeC,25.53,1.11,11.22,13.22,16.22,21.22,1.12,1.32,1.62,2.12,Latent_Defect,50
C14005,L8,TypeC,30.35,1.02,12.35,14.35,17.35,22.35,1.23,1.43,1.73,2.23,Latent_Defect,50
C14006,L8,TypeA,32.26,1.26,12.92,14.92,17.92,22.92,1.29,1.49,1.79,2.29,Latent_Defect,50
C14007,L8,TypeA,34.27,1.17,10.61,11.61,12.61,13.61,1.06,1.16,1.26,1.36,Normal,50
C14008,L8,TypeC,30.6,1.05,11.49,12.49,13.49,14.49,1.15,1.25,1.35,1.45,Normal,50
C14009,L8,TypeC,33.57,1.01,14.91,15.91,16.91,17.91,1.49,1.59,1.69,1.79,Normal,50
C14010,L8,TypeC,34.99,1.05,9.16,9.16,9.16,9.16,0.92,0.92,0.92,0.92,High_Stable,50
C14011,L8,TypeC,28.69,1.14,13.81,14.81,15.81,60.0,1.38,1.48,1.58,6.0,Absolute_Failure,50
C14012,L8,TypeA,29.79,1.14,12.04,13.04,14.04,15.04,1.2,1.3,1.4,1.5,Normal,50
C14013,L8,TypeA,33.18,1.25,11.2,12.2,13.2,60.0,1.12,1.22,1.32,6.0,Absolute_Failure,50
C14014,L8,TypeB,32.53,1.15,11.22,12.22,31.22,33.22,1.12,1.22,3.12,3.32,Sudden_Anomaly,50
C14015,L8,TypeC,28.59,1.26,11.02,12.02,13.02,14.02,1.1,1.2,1.3,1.4,Normal,50
C14016,L8,TypeC,34.76,1.15,11.87,12.87,13.87,60.0,1.19,1.29,1.39,6.0,Absolute_Failure,50
C14017,L8,TypeB,33.3,1.01,12.23,13.23,32.23,34.23,1.22,1.32,3.22,3.42,Sudden_Anomaly,50
C14018,L8,TypeA,29.51,1.22,14.5,15.5,16.5,60.0,1.45,1.55,1.65,6.0,Absolute_Failure,50
C14019,L8,TypeC,34.36,1.03,8.53,8.53,8.53,8.53,0.85,0.85,0.85,0.85,High_Stable,50
C14020,L8,TypeB,31.65,1.15,11.18,13.18,16.18,21.18,1.12,1.32,1.62,2.12,Latent_Defect,50
C14021,L8,TypeC,30.44,1.26,11.81,12.81,13.81,60.0,1.18,1.28,1.38,6.0,Absolute_Failure,50
C14022,L8,TypeB,25.97,1.28,12.86,14.86,17.86,22.86,1.29,1.49,1.79,2.29,Latent_Defect,50
C14023,L8,TypeA,34.01,1.08,13.51,14.51,15.51,16.51,1.35,1.45,1.55,1.65,Normal,50
C14024,L8,TypeB,32.53,1.17,12.36,13.36,14.36,15.36,1.24,1.34,1.44,1.54,Normal,50
C14025,L8,TypeB,34.99,1.04,13.66,14.66,15.66,60.0,1.37,1.47,1.57,6.0,Absolute_Failure,50
C14026,L8,TypeA,30.19,1.27,11.11,11.11,11.11,11.11,1.11,1.11,1.11,1.11,High_Stable,50
C14027,L8,TypeA,25.14,1.17,11.88,12.88,31.88,33.88,1.19,1.29,3.19,3.39,Sudden_Anomaly,50
C14028,L8,TypeB,33.32,1.21,10.98,10.98,10.98,10.98,1.1,1.1,1.1,1.1,High_Stable,50
C14029,L8,TypeC,25.59,1.27,12.11,13.11,14.11,15.11,1.21,1.31,1.41,1.51,Normal,50
C14030,L8,TypeA,34.91,1.04,10.73,12.73,15.73,20.73,1.07,1.27,1.57,2.07,Latent_Defect,50
C14031,L8,TypeA,31.4,1.19,11.53,12.53,13.53,60.0,1.15,1.25,1.35,6.0,Absolute_Failure,50
C14032,L8,TypeA,30.53,1.16,11.79,12.79,13.79,60.0,1.18,1.28,1.38,6.0,Absolute_Failure,50
C14033,L8,TypeA,25.39,1.21,14.19,15.19,34.19,36.19,1.42,1.52,3.42,3.62,Sudden_Anomaly,50
C14034,L8,TypeB,25.46,1.15,13.19,13.19,13.19,13.19,1.32,1.32,1.32,1.32,High_Stable,50
C14035,L8,TypeB,28.07,1.18,8.92,10.92,13.92,18.92,0.89,1.09,1.39,1.89,Latent_Defect,50
C14036,L8,TypeB,33.37,1.21,8.15,9.15,28.15,30.15,0.81,0.91,2.81,3.01,Sudden_Anomaly,50
C14037,L8,TypeC,30.45,1.06,11.22,12.22,31.22,33.22,1.12,1.22,3.12,3.32,Sudden_Anomaly,50
C14038,L8,TypeC,31.37,1.2,8.64,8.64,8.64,8.64,0.86,0.86,0.86,0.86,High_Stable,50
C14039,L8,TypeB,27.28,1.27,12.75,12.75,12.75,12.75,1.28,1.28,1.28,1.28,High_Stable,50
C14040,L8,TypeA,28.81,1.16,9.14,11.14,14.14,19.14,0.91,1.11,1.41,1.91,Latent_Defect,50
C14041,L8,TypeA,32.65,1.09,9.75,10.75,29.75,31.75,0.98,1.08,2.98,3.18,Sudden_Anomaly,50
C14042,L8,TypeA,34.42,1.03,14.88,14.88,14.88,14.88,1.49,1.49,1.49,1.49,High_Stable,50
C14043,L8,TypeA,32.11,1.18,11.21,11.21,11.21,11.21,1.12,1.12,1.12,1.12,High_Stable,50
C14044,L8,TypeB,27.79,1.05,12.82,13.82,32.82,34.82,1.28,1.38,3.28,3.48,Sudden_Anomaly,50
C14045,L8,TypeA,32.37,1.1,10.73,12.73,15.73,20.73,1.07,1.27,1.57,2.07,Latent_Defect,50
C14046,L8,TypeA,32.65,1.01,8.97,10.97,13.97,18.97,0.9,1.1,1.4,1.9,Latent_Defect,50
C14047,L8,TypeC,32.11,1.19,9.02,10.02,11.02,60.0,0.9,1.0,1.1,6.0,Absolute_Failure,50
C14048,L8,TypeA,31.05,1.23,13.62,15.62,18.62,23.62,1.36,1.56,1.86,2.36,Latent_Defect,50
C14049,L8,TypeC,34.85,1.05,12.34,13.34,32.34,34.34,1.23,1.33,3.23,3.43,Sudden_Anomaly,50
C14050,L8,TypeC,32.5,1.09,11.5,12.5,13.5,14.5,1.15,1.25,1.35,1.45,Normal,50
C14051,L8,TypeA,30.93,1.21,9.77,9.77,9.77,9.77,0.98,0.98,0.98,0.98,High_Stable,50
C14052,L8,TypeB,29.85,1.27,9.68,10.68,29.68,31.68,0.97,1.07,2.97,3.17,Sudden_Anomaly,50
C14053,L8,TypeB,29.43,1.19,12.62,14.62,17.62,22.62,1.26,1.46,1.76,2.26,Latent_Defect,50
C14054,L8,TypeB,25.5,1.18,8.31,9.31,10.31,11.31,0.83,0.93,1.03,1.13,Normal,50
C14055,L8,TypeA,33.58,1.16,11.91,12.91,13.91,60.0,1.19,1.29,1.39,6.0,Absolute_Failure,50
C14056,L8,TypeB,26.74,1.16,13.65,14.65,15.65,16.65,1.36,1.46,1.56,1.66,Normal,50
C14057,L8,TypeA,28.18,1.07,8.37,9.37,10.37,60.0,0.84,0.94,1.04,6.0,Absolute_Failure,50
C14058,L8,TypeC,30.68,1.15,14.34,14.34,14.34,14.34,1.43,1.43,1.43,1.43,High_Stable,50
C14059,L8,TypeA,33.99,1.3,12.06,13.06,14.06,60.0,1.21,1.31,1.41,6.0,Absolute_Failure,50
C14060,L8,TypeB,25.66,1.14,12.39,12.39,12.39,12.39,1.24,1.24,1.24,1.24,High_Stable,50
C14061,L8,TypeB,34.36,1.05,8.26,9.26,10.26,11.26,0.83,0.93,1.03,1.13,Normal,50
C14062,L8,TypeB,29.64,1.28,13.51,14.51,15.51,16.51,1.35,1.45,1.55,1.65,Normal,50
C14063,L8,TypeB,33.9,1.1,9.04,10.04,11.04,12.04,0.9,1.0,1.1,1.2,Normal,50
C14064,L8,TypeB,27.17,1.21,9.77,11.77,14.77,19.77,0.98,1.18,1.48,1.98,Latent_Defect,50
C14065,L8,TypeA,28.74,1.3,14.98,15.98,34.98,36.98,1.5,1.6,3.5,3.7,Sudden_Anomaly,50
C14066,L8,TypeB,26.09,1.1,9.99,10.99,29.99,31.99,1.0,1.1,3.0,3.2,Sudden_Anomaly,50
C14067,L8,TypeC,30.6,1.02,8.15,9.15,10.15,11.15,0.82,0.92,1.02,1.12,Normal,50
C14068,L8,TypeC,30.23,1.29,9.16,10.16,11.16,12.16,0.92,1.02,1.12,1.22,Normal,50
C14069,L8,TypeA,26.21,1.0,14.55,15.55,16.55,60.0,1.46,1.56,1.66,6.0,Absolute_Failure,50
C14070,L8,TypeA,29.76,1.25,13.98,14.98,33.98,35.98,1.4,1.5,3.4,3.6,Sudden_Anomaly,50
C14071,L8,TypeC,26.73,1.27,13.63,13.63,13.63,13.63,1.36,1.36,1.36,1.36,High_Stable,50
C14072,L8,TypeA,28.73,1.13,8.77,9.77,10.77,11.77,0.88,0.98,1.08,1.18,Normal,50
C14073,L8,TypeC,34.51,1.21,10.14,11.14,12.14,60.0,1.01,1.11,1.21,6.0,Absolute_Failure,50
C14074,L8,TypeB,27.55,1.07,12.81,13.81,14.81,60.0,1.28,1.38,1.48,6.0,Absolute_Failure,50
C14075,L8,TypeA,32.53,1.07,14.63,15.63,16.63,60.0,1.46,1.56,1.66,6.0,Absolute_Failure,50
C14076,L8,TypeA,28.69,1.3,13.35,15.35,18.35,23.35,1.34,1.54,1.84,2.34,Latent_Defect,50
C14077,L8,TypeA,31.81,1.23,9.31,9.31,9.31,9.31,0.93,0.93,0.93,0.93,High_Stable,50
C14078,L8,TypeC,32.67,1.18,11.74,12.74,13.74,60.0,1.17,1.27,1.37,6.0,Absolute_Failure,50
C14079,L8,TypeC,28.74,1.09,9.91,10.91,11.91,12.91,0.99,1.09,1.19,1.29,Normal,50
C14080,L8,TypeB,33.69,1.22,9.5,10.5,11.5,60.0,0.95,1.05,1.15,6.0,Absolute_Failure,50
C14081,L8,TypeC,26.8,1.01,11.6,11.6,11.6,11.6,1.16,1.16,1.16,1.16,High_Stable,50
C14082,L8,TypeA,33.1,1.07,10.81,11.81,30.81,32.81,1.08,1.18,3.08,3.28,Sudden_Anomaly,50
C14083,L8,TypeC,34.17,1.24,12.65,13.65,32.65,34.65,1.26,1.36,3.26,3.46,Sudden_Anomaly,50
C14084,L8,TypeA,31.51,1.11,13.08,14.08,15.08,60.0,1.31,1.41,1.51,6.0,Absolute_Failure,50
C14085,L8,TypeB,30.49,1.07,8.27,9.27,28.27,30.27,0.83,0.93,2.83,3.03,Sudden_Anomaly,50
C14086,L8,TypeB,30.96,1.29,10.59,11.59,12.59,60.0,1.06,1.16,1.26,6.0,Absolute_Failure,50
C14087,L8,TypeC,27.46,1.03,10.3,11.3,12.3,60.0,1.03,1.13,1.23,6.0,Absolute_Failure,50
C14088,L8,TypeA,33.73,1.03,9.68,10.68,11.68,60.0,0.97,1.07,1.17,6.0,Absolute_Failure,50
C14089,L8,TypeB,26.82,1.01,12.53,13.53,14.53,60.0,1.25,1.35,1.45,6.0,Absolute_Failure,50
C14090,L8,TypeC,34.39,1.21,14.56,16.56,19.56,24.56,1.46,1.66,1.96,2.46,Latent_Defect,50
C14091,L8,TypeB,31.19,1.29,11.12,12.12,31.12,33.12,1.11,1.21,3.11,3.31,Sudden_Anomaly,50
C14092,L8,TypeB,30.17,1.2,13.88,13.88,13.88,13.88,1.39,1.39,1.39,1.39,High_Stable,50
C14093,L8,TypeA,32.21,1.23,12.02,13.02,14.02,15.02,1.2,1.3,1.4,1.5,Normal,50
C14094,L8,TypeC,32.84,1.04,13.92,14.92,15.92,60.0,1.39,1.49,1.59,6.0,Absolute_Failure,50
