component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,absolute_limit_uA,drift_0_24_uA_per_h,zscore_0h,robust_zscore_0h,z_anomaly_0h,robust_z_anomaly_0h,iqr_anomaly_0h,zscore_24h,robust_zscore_24h,z_anomaly_24h,robust_z_anomaly_24h,iqr_anomaly_24h,predicted_168h_uA,prediction_lower_uA,prediction_upper_uA,predicted_drift_uA,predicted_drift_rate,safety_slope,drift_slope_excess,early_drift_flag,predicted_limit_exceeded,uncertainty_adjusted_failure,limit_margin_uA,upper_bound_limit_margin_uA,future_drift_risk,module_b_status,module_b_explanation,anomaly_evidence_count,anomaly_score,current_anomaly_level,early_drift_direction,future_drift_abnormal,future_failure_predicted,current_anomaly_contribution,future_drift_contribution,future_failure_contribution,risk_score,drift_severity,final_risk_level,final_decision,risk_explanation,risk_priority
C010340,LOT-001,IC_A,126.38,3.306,26.75,41.195,50.0,0.601875,3.771616994679869,17.090124127230414,True,True,True,5.18279606676929,27.44060126582273,True,True,True,71.94511225779087,68.2896151744452,75.60060934113653,45.19511225779087,0.2690185253439933,0.0078669642857142,0.261151561058279,True,True,True,-21.945112257790868,-25.600609341136533,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C040142,LOT-004,IC_A,126.32,3.261,26.595,39.862,50.0,0.5527916666666668,4.146622252695484,20.12110804899386,True,True,True,5.48093073209436,30.163439405204446,True,True,True,71.77685844727498,68.12136136392931,75.43235553062064,45.181858447274976,0.268939633614732,0.0078669642857142,0.2610726693290177,True,True,True,-21.77685844727497,-25.43235553062064,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C070070,LOT-007,IC_A,125.69,3.297,25.215,39.788,50.0,0.6072083333333332,3.5940864339287524,9.95281177042801,True,True,True,5.357904222075894,17.430888913234003,True,True,True,70.29277335690696,66.6372762735613,73.94827044025263,45.07777335690696,0.2683200795053985,0.0078669642857142,0.2604531152196843,True,True,True,-20.292773356906963,-23.948270440252628,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C020254,LOT-002,IC_A,126.08,3.271,24.964,38.014,50.0,0.5437500000000002,3.356088893748692,12.41120510510511,True,True,True,5.000380517869088,21.90202849740933,True,True,True,69.97138062211403,66.31588353876836,73.62687770545969,45.00738062211403,0.2679010751316311,0.0078669642857142,0.2600341108459169,True,True,True,-19.971380622114022,-23.62687770545969,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C030266,LOT-003,IC_A,125.45,3.303,24.393,37.899,50.0,0.56275,3.287962511176901,12.918405686546464,True,True,True,4.849304112885707,21.773903869047626,True,True,True,69.35411726803748,65.69862018469182,73.00961435138315,44.96111726803748,0.2676256980240326,0.0078669642857142,0.2597587337383183,True,True,True,-19.354117268037484,-23.00961435138315,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C090070,LOT-009,IC_A,124.77,3.286,25.014,37.632,50.0,0.5257499999999999,3.6311626334369977,11.2305779478458,True,True,True,4.792192863363364,17.95931009852217,True,True,True,69.94044487292572,66.28494778958006,73.59594195627139,44.92644487292573,0.267419314719796,0.0078669642857142,0.2595523504340817,True,True,True,-19.940444872925724,-23.59594195627139,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C010294,LOT-001,IC_A,126.28,3.309,23.74,38.058,50.0,0.5965833333333334,3.021128616290632,13.940015515903804,True,True,True,4.619770286861607,24.621272151898683,True,True,True,68.63918340845954,64.98368632511388,72.29468049180521,44.89918340845955,0.2672570440979735,0.0078669642857142,0.2593900798122592,True,True,True,-18.639183408459544,-22.29468049180521,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C080432,LOT-008,IC_A,123.38,3.335,24.345,37.17,50.0,0.5343750000000002,3.409566674429236,13.275323408624208,True,True,True,4.709574371881621,21.325033118405635,True,True,True,69.20691698430731,65.55141990096165,72.86241406765298,44.861916984307314,0.2670352201446864,0.0078669642857142,0.2591682558589721,True,True,True,-19.206916984307316,-22.862414067652978,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C080040,LOT-008,IC_A,123.21,3.329,26.972,41.925,50.0,0.6230416666666665,4.086703705853987,15.70093805612592,True,True,True,5.593218953600542,25.084995017585,True,True,True,71.77246087783057,68.1169637944849,75.42795796117623,44.80046087783057,0.2666694099870867,0.0078669642857142,0.2588024457013724,True,True,True,-21.772460877830568,-25.427957961176237,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C010064,LOT-001,IC_A,126.49,3.315,25.077,38.97,50.0,0.5788749999999999,3.35448508204027,15.339249806051209,True,True,True,4.783455180478376,25.440917721518936,True,True,True,69.75232517884199,66.09682809549632,73.40782226218765,44.67532517884199,0.2659245546359642,0.0078669642857142,0.2580575903502499,True,True,True,-19.752325178841986,-23.40782226218765,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C060027,LOT-006,IC_A,127.21,3.307,25.204,38.041,50.0,0.5348749999999999,3.637712553439629,15.94036517295595,True,True,True,5.341055991915572,26.58184760885082,True,True,True,69.85620716612557,66.2007100827799,73.51170424947124,44.65220716612557,0.2657869474174141,0.0078669642857142,0.2579199831316998,True,True,True,-19.85620716612557,-23.51170424947124,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
