component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA,temperature_bin,voltage_bin,iddq_0h_uA_group_count,iddq_0h_uA_group_mean,iddq_0h_uA_group_median,iddq_0h_uA_group_std,iddq_0h_uA_group_min,iddq_0h_uA_group_max,iddq_0h_uA_group_q1,iddq_0h_uA_group_q3,iddq_0h_uA_group_iqr,iddq_0h_uA_group_mad,iddq_24h_uA_group_count,iddq_24h_uA_group_mean,iddq_24h_uA_group_median,iddq_24h_uA_group_std,iddq_24h_uA_group_min,iddq_24h_uA_group_max,iddq_24h_uA_group_q1,iddq_24h_uA_group_q3,iddq_24h_uA_group_iqr,iddq_24h_uA_group_mad,iddq_96h_uA_group_count,iddq_96h_uA_group_mean,iddq_96h_uA_group_median,iddq_96h_uA_group_std,iddq_96h_uA_group_min,iddq_96h_uA_group_max,iddq_96h_uA_group_q1,iddq_96h_uA_group_q3,iddq_96h_uA_group_iqr,iddq_96h_uA_group_mad,iddq_168h_uA_group_count,iddq_168h_uA_group_mean,iddq_168h_uA_group_median,iddq_168h_uA_group_std,iddq_168h_uA_group_min,iddq_168h_uA_group_max,iddq_168h_uA_group_q1,iddq_168h_uA_group_q3,iddq_168h_uA_group_iqr,iddq_168h_uA_group_mad,leakage_0h_uA_group_count,leakage_0h_uA_group_mean,leakage_0h_uA_group_median,leakage_0h_uA_group_std,leakage_0h_uA_group_min,leakage_0h_uA_group_max,leakage_0h_uA_group_q1,leakage_0h_uA_group_q3,leakage_0h_uA_group_iqr,leakage_0h_uA_group_mad,leakage_24h_uA_group_count,leakage_24h_uA_group_mean,leakage_24h_uA_group_median,leakage_24h_uA_group_std,leakage_24h_uA_group_min,leakage_24h_uA_group_max,leakage_24h_uA_group_q1,leakage_24h_uA_group_q3,leakage_24h_uA_group_iqr,leakage_24h_uA_group_mad,leakage_96h_uA_group_count,leakage_96h_uA_group_mean,leakage_96h_uA_group_median,leakage_96h_uA_group_std,leakage_96h_uA_group_min,leakage_96h_uA_group_max,leakage_96h_uA_group_q1,leakage_96h_uA_group_q3,leakage_96h_uA_group_iqr,leakage_96h_uA_group_mad,leakage_168h_uA_group_count,leakage_168h_uA_group_mean,leakage_168h_uA_group_median,leakage_168h_uA_group_std,leakage_168h_uA_group_min,leakage_168h_uA_group_max,leakage_168h_uA_group_q1,leakage_168h_uA_group_q3,leakage_168h_uA_group_iqr,leakage_168h_uA_group_mad,iddq_0h_uA_deviation,iddq_0h_uA_robust_z,iddq_0h_uA_iqr_anomaly,iddq_24h_uA_deviation,iddq_24h_uA_robust_z,iddq_24h_uA_iqr_anomaly,iddq_96h_uA_deviation,iddq_96h_uA_robust_z,iddq_96h_uA_iqr_anomaly,iddq_168h_uA_deviation,iddq_168h_uA_robust_z,iddq_168h_uA_iqr_anomaly,leakage_0h_uA_deviation,leakage_0h_uA_robust_z,leakage_0h_uA_iqr_anomaly,leakage_24h_uA_deviation,leakage_24h_uA_robust_z,leakage_24h_uA_iqr_anomaly,leakage_96h_uA_deviation,leakage_96h_uA_robust_z,leakage_96h_uA_iqr_anomaly,leakage_168h_uA_deviation,leakage_168h_uA_robust_z,leakage_168h_uA_iqr_anomaly,max_robust_z,statistical_evidence_count,iddq_change_0h_24h,iddq_change_0h_24h_robust_z,iddq_change_24h_96h,iddq_change_24h_96h_robust_z,iddq_change_96h_168h,iddq_change_96h_168h_robust_z,leakage_change_0h_24h,leakage_change_0h_24h_robust_z,leakage_change_24h_96h,leakage_change_24h_96h_robust_z,leakage_change_96h_168h,leakage_change_96h_168h_robust_z,max_temporal_robust_z,temporal_anomaly_score,temporal_anomaly_flag,statistical_score,statistical_anomaly_flag,isolation_forest_score,isolation_forest_flag,combined_anomaly_score,anomaly_flag,limit_violation,limit_excess_uA,risk_score,risk_score_100,risk_level,screening_decision,explanation,stage,cumulative_components,batches_processed
C1,L1,TypeA,28.41,1.01,11.05,12.05,13.05,14.05,1.1,1.2,1.3,1.4,Normal,50,28.0,1.0,9,11.713333333333333,11.8,1.6460407042354688,8.89,14.26,11.05,11.98,0.9299999999999997,0.75,9,12.491111111111111,12.05,2.0822010256243537,8.89,15.86,11.8,12.98,1.1799999999999997,0.7400000000000002,9,15.379999999999999,13.4,6.2685285354698665,8.89,30.31,11.87,16.26,4.390000000000002,1.5999999999999996,9,26.353333333333335,14.4,20.39204379163599,8.89,60.0,11.87,32.31,20.440000000000005,5.51,9,1.172222222222222,1.18,0.16626618551119898,0.89,1.43,1.1,1.2,0.09999999999999987,0.07999999999999985,9,1.25,1.2,0.20964255293236633,0.89,1.59,1.18,1.3,0.1200000000000001,0.07000000000000006,9,1.5388888888888888,1.34,0.6267464488220983,0.89,3.03,1.19,1.63,0.43999999999999995,0.16000000000000014,9,2.6355555555555554,1.44,2.039112007168262,0.89,6.0,1.19,3.23,2.04,0.5499999999999999,0.75,0.6745,0,0.0,0.0,0,0.34999999999999964,0.14754687499999988,0,0.34999999999999964,0.042844827586206856,0,0.07999999999999985,0.6745,0,0.0,0.0,0,0.040000000000000036,0.168625,0,0.040000000000000036,0.0490545454545455,0,0.6745,0,1.0,0.0,1.0,0.0,1.0,0.0,0.09999999999999987,0.0,0.10000000000000009,1.4976908602193382e-15,0.09999999999999987,0.0,1.4976908602193382e-15,0.0,0,0.0,0,0.07337190100167439,0,0.03668595050083719,0,0,0.0,0.023845867825544178,2.38,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,2,4000,2
C2,L1,TypeB,25.66,1.01,11.05,12.05,13.05,14.05,1.11,1.21,1.31,1.41,Normal,50,25.0,1.0,11,10.966363636363637,10.93,1.965661581896908,8.06,13.81,9.515,12.665,3.1499999999999986,1.67,11,12.239090909090908,11.77,2.1223074920729776,9.06,15.32,11.094999999999999,14.165,3.0700000000000003,1.9700000000000006,11,13.875454545454545,14.26,2.7593490668502367,10.06,18.32,11.79,15.29,3.5,1.6099999999999994,11,33.24181818181818,22.59,21.506610062109655,10.93,60.0,17.5,60.0,42.5,8.54,11,1.0981818181818181,1.09,0.1941040021132064,0.81,1.38,0.9550000000000001,1.2650000000000001,0.31000000000000005,0.16999999999999993,11,1.2254545454545456,1.18,0.21016011212233576,0.91,1.53,1.1099999999999999,1.415,0.30500000000000016,0.19000000000000017,11,1.3890909090909092,1.43,0.2744978887151792,1.01,1.83,1.1800000000000002,1.53,0.34999999999999987,0.15999999999999992,11,3.3245454545454547,2.26,2.150448156251918,1.09,6.0,1.75,6.0,4.25,0.8499999999999999,0.120000000000001,0.048467065868263874,0,0.28000000000000114,0.0958680203045689,0,1.209999999999999,0.506922360248447,0,8.54,0.6745,0,0.020000000000000018,0.0793529411764707,0,0.030000000000000027,0.1065,0,0.11999999999999988,0.5058749999999997,0,0.8499999999999999,0.6745,0,0.6745,0,1.0,0.0,1.0,0.0,1.0,0.6745,0.09999999999999987,0.0,0.10000000000000009,0.0,0.09999999999999987,0.6745,0.6745,0.0,0,0.0,0,0.05864275234599628,0,0.02932137617299814,0,0,0.0,0.01905889451244879,1.91,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,2,4000,2
C3,L1,TypeA,29.83,1.16,8.41,9.41,10.41,11.41,0.84,0.94,1.04,1.14,Normal,50,29.0,1.1500000000000001,14,11.477142857142857,11.59,2.13099625878251,8.21,14.89,9.7925,13.145,3.352499999999999,1.7749999999999995,14,12.54857142857143,12.655000000000001,2.4357777375641616,8.21,15.89,10.71,14.440000000000001,3.7300000000000004,1.915000000000001,14,17.69142857142857,15.405000000000001,8.217660023615984,8.21,34.16,12.2225,17.965,5.7425,3.2249999999999996,14,26.007857142857144,21.465,16.780407154944548,8.21,60.0,15.174999999999999,32.9475,17.7725,10.195,14,1.147142857142857,1.1549999999999998,0.21276308859417295,0.82,1.49,0.98,1.31,0.33000000000000007,0.17499999999999982,14,1.2542857142857142,1.2650000000000001,0.24342790073683596,0.82,1.59,1.0725,1.4449999999999998,0.37249999999999983,0.19000000000000006,14,1.7685714285714285,1.54,0.822275053577733,0.82,3.42,1.2225,1.795,0.5725,0.32000000000000006,14,2.6,2.15,1.678795355650547,0.82,6.0,1.5125,3.2925,1.78,1.02,3.1799999999999997,1.2084000000000004,0,3.245000000000001,1.142951697127937,0,4.995000000000001,1.044690697674419,0,10.055,0.665237616478666,0,0.31499999999999984,1.2141000000000006,0,0.3250000000000002,1.1537500000000003,0,0.5,1.0539062499999998,0,1.01,0.6678872549019608,0,1.2141000000000006,0,1.0,0.0,1.0,0.0,1.0,0.4496666666666664,0.09999999999999998,0.0,0.10000000000000009,0.0,0.09999999999999987,0.44966666666666727,0.44966666666666727,0.0,0,0.0,0,0.15785675582328035,0,0.07892837791164017,0,0,0.0,0.051303445642566115,5.13,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,2,4000,2
C4,L1,TypeA,28.69,1.17,12.51,12.51,12.51,12.51,1.25,1.25,1.25,1.25,High_Stable,50,28.0,1.1500000000000001,17,11.754705882352942,11.15,1.7477024834302417,8.87,14.91,10.55,12.71,2.16,1.1500000000000004,17,12.578235294117647,12.24,1.7594432190828073,8.87,15.65,11.55,13.71,2.16,1.120000000000001,17,15.578235294117647,14.3,6.268922590140708,8.87,32.24,12.51,15.24,2.7300000000000004,1.790000000000001,17,29.88529411764706,17.65,21.123565666586416,8.87,60.0,13.07,60.0,46.93,6.529999999999999,17,1.1758823529411766,1.12,0.17485918704522685,0.89,1.49,1.06,1.27,0.20999999999999996,0.1100000000000001,17,1.2582352941176471,1.22,0.17597000078556174,0.89,1.57,1.16,1.37,0.2100000000000002,0.10999999999999988,17,1.5582352941176472,1.43,0.6268695567472315,0.89,3.22,1.25,1.52,0.27,0.17999999999999994,17,2.9888235294117647,1.77,2.112092807954178,0.89,6.0,1.31,6.0,4.6899999999999995,0.6599999999999999,1.3599999999999994,0.7976695652173907,0,0.2699999999999996,0.16260267857142818,0,1.790000000000001,0.6745,0,5.139999999999999,0.5309234303215926,0,0.1299999999999999,0.7971363636363623,0,0.030000000000000027,0.18395454545454581,0,0.17999999999999994,0.6745,0,0.52,0.5314242424242425,0,0.7976695652173907,0,0.0,3.0,0.0,3.0,0.0,0.6745,0.0,3.0,0.0,3.0,0.0,0.6745000000000001,3.0,0.25,0,0.075,0,0.1317117729263506,0,0.10335588646317531,0,0,0.0,0.07468132620106396,7.47,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,2,4000,2
C5,L1,TypeA,25.31,1.16,9.81,10.81,11.81,12.81,0.98,1.08,1.18,1.28,Normal,50,25.0,1.1500000000000001,9,11.675555555555555,11.7,2.085552151776066,9.13,14.49,9.81,13.54,3.7299999999999986,1.8899999999999988,9,12.786666666666667,12.7,2.5192756895584094,9.78,16.46,10.81,15.49,4.68,2.5699999999999985,9,20.12,18.54,8.339169622930092,9.78,31.92,13.7,29.13,15.43,6.729999999999999,9,27.264444444444443,24.46,14.94834531905715,9.78,60.0,17.49,32.25,14.760000000000002,7.789999999999999,9,1.1666666666666667,1.17,0.2097021697551076,0.91,1.45,0.98,1.35,0.3700000000000001,0.18999999999999995,9,1.2777777777777777,1.27,0.2528229507866018,0.98,1.65,1.08,1.55,0.47,0.26,9,2.011111111111111,1.85,0.8322175863986,0.98,3.19,1.37,2.91,1.54,0.6700000000000002,9,2.7255555555555557,2.45,1.494198038339556,0.98,6.0,1.75,3.22,1.4700000000000002,0.77,1.8899999999999988,0.6745,0,1.8899999999999988,0.49603307392996104,0,6.729999999999999,0.6745,0,11.65,1.008719512195122,0,0.18999999999999995,0.6745,0,0.18999999999999995,0.49290384615384597,0,0.6700000000000002,0.6745,0,1.1700000000000002,1.0248896103896106,0,1.0248896103896106,0,1.0,0.0,1.0,0.6744999999999994,1.0,0.6745,0.10000000000000009,0.0,0.09999999999999987,0.6745000000000001,0.10000000000000009,0.6745000000000001,0.6745000000000001,0.0,0,0.0,0,0.07504402600078823,0,0.037522013000394115,0,0,0.0,0.024389308450256175,2.44,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,2,4000,2
C6,L1,TypeB,27.56,1.08,13.85,15.85,18.85,23.85,1.39,1.59,1.89,2.39,Latent_Defect,50,27.0,1.05,14,11.813571428571427,12.205,2.0824379467820404,8.23,14.75,10.0325,13.6175,3.584999999999999,1.9400000000000004,14,12.813571428571427,12.27,2.192559470793673,9.23,16.5,11.21,14.0325,2.8225,1.5949999999999998,14,16.599285714285713,14.495000000000001,6.665373743673879,10.23,32.37,12.1325,18.325000000000003,6.192500000000003,2.4750000000000005,14,24.76142857142857,18.055,16.63310408938607,11.23,60.0,13.0225,29.7425,16.72,5.8950000000000005,14,1.1814285714285713,1.22,0.20861658400251673,0.82,1.47,1.005,1.365,0.3600000000000001,0.19499999999999995,14,1.2814285714285716,1.225,0.21975010782729984,0.92,1.65,1.1225,1.4049999999999998,0.28249999999999975,0.15999999999999992,14,1.6600000000000001,1.45,0.6676134302930793,1.02,3.24,1.2149999999999999,1.835,0.6200000000000001,0.245,14,2.4764285714285714,1.8050000000000002,1.663775165759425,1.12,6.0,1.3,2.975,1.675,0.5900000000000001,1.6449999999999996,0.5719342783505152,0,3.58,1.5139247648902823,0,4.355,1.1868474747474747,0,5.795000000000002,0.6630581000848178,0,0.16999999999999993,0.5880256410256409,0,0.365,1.5387031250000007,0,0.43999999999999995,1.21134693877551,0,0.585,0.6687838983050846,0,1.5387031250000007,0,2.0,3.0,3.0000000000000018,1.349000000000001,5.0,1.5738333333333332,0.20000000000000018,3.0,0.2999999999999998,1.348999999999998,0.5000000000000002,1.5738333333333356,3.0,0.25,0,0.075,0,0.2809822914545312,0,0.1779911457272656,0,0,0.0,0.12319424472272264,12.32,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,2,4000,2
C7,L1,TypeC,32.53,1.3,10.79,12.79,15.79,20.79,1.08,1.28,1.58,2.08,Latent_Defect,50,32.0,1.3,4,10.9475,11.149999999999999,1.14520376643926,9.42,12.07,10.4475,11.65,1.2025000000000006,0.6400000000000015,4,12.1975,12.649999999999999,1.206851965514688,10.42,13.07,11.9875,12.86,0.8724999999999987,0.28000000000000114,4,13.6975,13.79,1.8018023384008208,11.42,15.79,12.9875,14.5,1.5124999999999993,1.1400000000000006,4,15.6975,14.79,3.5814091733096713,12.42,20.79,13.9875,16.5,2.5124999999999993,1.3250000000000002,4,1.095,1.115,0.11618950038622253,0.94,1.21,1.045,1.165,0.1200000000000001,0.06499999999999995,4,1.22,1.2650000000000001,0.12247448713915889,1.04,1.31,1.1975,1.2875,0.09000000000000008,0.030000000000000027,4,1.37,1.38,0.18165902124584965,1.14,1.58,1.2975,1.4525,0.1549999999999998,0.1150000000000001,4,1.57,1.48,0.3591656999213594,1.24,2.08,1.3975,1.6525,0.2550000000000001,0.135,0.35999999999999943,0.37940624999999856,0,0.14000000000000057,0.33725,0,2.0,1.1833333333333327,0,6.0,3.0543396226415087,1,0.03499999999999992,0.36319230769230715,0,0.014999999999999902,0.3372499999999975,0,0.20000000000000018,1.1730434782608696,0,0.6000000000000001,2.997777777777778,1,3.0543396226415087,2,2.0,0.6745,3.0,0.6745,5.0,0.6745,0.19999999999999996,0.6745,0.30000000000000004,0.6745000000000001,0.5,0.6745,0.6745000000000001,0.0,0,0.18165660377358478,0,0.3744649578148163,0,0.27806078079420055,0,0,0.0,0.19890516789358884,19.89,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,2,4000,2
C8,L1,TypeB,25.96,1.02,10.65,11.65,12.65,60.0,1.07,1.17,1.27,6.0,Absolute_Failure,50,25.0,1.0,11,10.966363636363637,10.93,1.965661581896908,8.06,13.81,9.515,12.665,3.1499999999999986,1.67,11,12.239090909090908,11.77,2.1223074920729776,9.06,15.32,11.094999999999999,14.165,3.0700000000000003,1.9700000000000006,11,13.875454545454545,14.26,2.7593490668502367,10.06,18.32,11.79,15.29,3.5,1.6099999999999994,11,33.24181818181818,22.59,21.506610062109655,10.93,60.0,17.5,60.0,42.5,8.54,11,1.0981818181818181,1.09,0.1941040021132064,0.81,1.38,0.9550000000000001,1.2650000000000001,0.31000000000000005,0.16999999999999993,11,1.2254545454545456,1.18,0.21016011212233576,0.91,1.53,1.1099999999999999,1.415,0.30500000000000016,0.19000000000000017,11,1.3890909090909092,1.43,0.2744978887151792,1.01,1.83,1.1800000000000002,1.53,0.34999999999999987,0.15999999999999992,11,3.3245454545454547,2.26,2.150448156251918,1.09,6.0,1.75,6.0,4.25,0.8499999999999999,0.27999999999999936,0.11308982035928118,0,0.11999999999999922,0.041086294416243375,0,1.6099999999999994,0.6744999999999999,0,37.41,2.9546891100702575,0,0.020000000000000018,0.0793529411764707,0,0.010000000000000009,0.035500000000000004,0,0.15999999999999992,0.6745,0,3.74,2.9678000000000004,0,2.9678000000000004,0,1.0,0.0,1.0,0.0,47.35,7.14126875,0.09999999999999987,0.0,0.10000000000000009,0.0,4.73,7.132837499999999,7.14126875,1.0,1,0.4185555,0,0.28857286885671907,0,0.3535641844283596,0,1,10.0,0.5216722698784337,52.17,MEDIUM,REJECT,final Iddq exceeds the absolute specification limit.,2,4000,2
C9,L1,TypeB,28.17,1.25,12.03,13.03,32.03,34.03,1.2,1.3,3.2,3.4,Sudden_Anomaly,50,28.0,1.25,13,11.86153846153846,11.93,1.5797196278340355,8.18,14.45,11.23,12.35,1.1199999999999992,0.6999999999999993,13,12.63076923076923,13.03,1.6931994445352143,9.18,14.72,11.23,13.63,2.4000000000000004,1.3200000000000003,13,14.938461538461537,13.93,5.6254345701078154,10.18,32.03,11.23,15.72,4.49,2.6999999999999993,13,19.713076923076922,14.78,13.748758358857588,10.55,60.0,11.23,21.63,10.399999999999999,3.5999999999999996,13,1.186923076923077,1.19,0.1581868418139667,0.82,1.45,1.12,1.24,0.11999999999999988,0.06999999999999984,13,1.2638461538461538,1.3,0.169191137550526,0.92,1.47,1.12,1.36,0.24,0.1399999999999999,13,1.4946153846153847,1.39,0.5614062014948918,1.02,3.2,1.12,1.57,0.44999999999999996,0.2699999999999998,13,1.9723076923076923,1.48,1.3740581856078355,1.06,6.0,1.12,2.16,1.04,0.3599999999999999,0.09999999999999964,0.09635714285714261,0,0.0,0.0,0,18.1,4.52164814814815,1,19.25,3.6067013888888892,0,0.010000000000000009,0.09635714285714317,0,0.0,0.0,0,1.8100000000000003,4.521648148148152,1,1.92,3.5973333333333346,0,4.521648148148152,2,1.0,0.0,19.0,12.141,2.0,0.6745,0.10000000000000009,0.0,1.9000000000000001,12.141000000000018,0.19999999999999973,0.674499999999997,12.141000000000018,1.0,1,0.6614018981481486,1,0.4229571090788071,0,0.5421795036134779,1,0,0.0,0.41855686716357554,41.86,MEDIUM,REVIEW,measurement is statistically abnormal within its component/lot/condition group.,2,4000,2
C10,L1,TypeC,33.89,1.27,11.46,13.46,16.46,21.46,1.15,1.35,1.65,2.15,Latent_Defect,50,33.0,1.25,11,11.77,11.46,1.8223611058184925,8.86,14.59,10.864999999999998,13.004999999999999,2.1400000000000006,0.6799999999999997,11,12.951818181818181,12.99,2.1786776640054777,8.86,16.11,11.864999999999998,14.504999999999999,2.6400000000000006,1.1500000000000004,11,16.042727272727273,13.99,6.774598277254661,8.86,34.59,12.864999999999998,16.8,3.9350000000000023,2.34,11,34.91818181818182,24.11,21.0233659617968,8.86,60.0,19.165,60.0,40.835,12.480000000000004,11,1.1781818181818182,1.15,0.18197901976976252,0.89,1.46,1.09,1.2999999999999998,0.20999999999999974,0.06000000000000005,11,1.2963636363636364,1.3,0.21731418394907995,0.89,1.61,1.19,1.45,0.26,0.1100000000000001,11,1.6054545454545455,1.4,0.6770578060455936,0.89,3.46,1.29,1.68,0.3899999999999999,0.24,11,3.4927272727272727,2.41,2.101333342947239,0.89,6.0,1.92,6.0,4.08,1.25,0.0,0.0,0,0.47000000000000064,0.2756652173913046,0,2.4700000000000006,0.7119722222222225,0,2.6499999999999986,0.1432231570512819,0,0.0,0.0,0,0.050000000000000044,0.30659090909090914,0,0.25,0.7026041666666667,0,0.26000000000000023,0.14029600000000014,0,0.7119722222222225,0,2.0,3.0,3.0,3.0,5.0,0.0,0.20000000000000018,3.0,0.2999999999999998,3.0,0.5,0.0,3.0,0.25,0,0.075,0,0.2025512352871576,0,0.1387756176435788,0,0,0.0,0.09770415146832623,9.77,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,2,4000,2
