component_id,lot_id,component_type,temperature,voltage,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA,actual_abnormal,predicted_168h_uA,prediction_lower_uA,prediction_upper_uA,prediction_error_uA,absolute_prediction_error_uA,predicted_drift_uA,predicted_drift_rate,predicted_relative_drift,actual_drift_uA,actual_drift_rate,safety_slope,drift_slope_excess,early_drift_flag,predicted_limit_exceeded,uncertainty_adjusted_failure,limit_margin_uA,upper_bound_limit_margin_uA,future_drift_risk,module_b_status,module_b_explanation
C1,L1,TypeA,28.41,1.01,11.05,12.05,13.05,14.05,1.1,1.2,1.3,1.4,Normal,50,False,35.84831876725402,10.131276621051171,61.56536091345687,21.79831876725402,21.79831876725402,24.79831876725402,0.14760904028127392,2.2441917436428978,3.0,0.017857142857142856,0.017857142857142856,0.12975189742413107,True,False,True,14.151681232745979,-11.565360913456871,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C2,L1,TypeB,25.66,1.01,11.05,12.05,13.05,14.05,1.11,1.21,1.31,1.41,Normal,50,False,34.47015102472116,8.753108878518312,60.18719317092401,20.42015102472116,20.42015102472116,23.42015102472116,0.1394056608614355,2.119470680970241,3.0,0.017857142857142856,0.017857142857142856,0.12154851800429264,True,False,True,15.529848975278838,-10.187193170924012,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C3,L1,TypeA,29.83,1.16,8.41,9.41,10.41,11.41,0.84,0.94,1.04,1.14,Normal,50,False,35.17957596167753,9.462533815474679,60.89661810788038,23.76957596167753,23.76957596167753,26.76957596167753,0.15934271405760433,3.183064918154284,3.0,0.017857142857142856,0.017857142857142856,0.14148557120046149,True,False,True,14.820424038322471,-10.896618107880379,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C4,L1,TypeA,28.69,1.17,12.51,12.51,12.51,12.51,1.25,1.25,1.25,1.25,High_Stable,50,True,13.636091712964847,-12.080950433238003,39.3531338591677,1.126091712964847,1.126091712964847,1.126091712964847,0.006702926862885993,0.09001532477736586,0.0,0.0,0.017857142857142856,-0.011154215994256863,False,False,False,36.36390828703515,10.646866140832302,LOW,NORMAL,Predicted 168h behavior remains within the dynamic safety boundary.
C5,L1,TypeA,25.31,1.16,9.81,10.81,11.81,12.81,0.98,1.08,1.18,1.28,Normal,50,False,30.520561550765038,4.803519404562188,56.23760369696789,17.710561550765036,17.710561550765036,20.710561550765036,0.12327715208788712,2.1111683537986785,3.0,0.017857142857142856,0.017857142857142856,0.10542000923074427,True,False,True,19.479438449234962,-6.237603696967888,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C6,L1,TypeB,27.56,1.08,13.85,15.85,18.85,23.85,1.39,1.59,1.89,2.39,Latent_Defect,50,True,23.82080253398043,-1.8962396122224199,49.537844680183284,-0.029197466019571294,0.029197466019571294,9.97080253398043,0.05935001508321685,0.7199135403595979,10.000000000000002,0.059523809523809534,0.017857142857142856,0.04149287222607399,True,False,False,26.17919746601957,0.4621553198167163,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C7,L1,TypeC,32.53,1.3,10.79,12.79,15.79,20.79,1.08,1.28,1.58,2.08,Latent_Defect,50,True,21.451576446474864,-4.2654656997279865,47.16861859267772,0.6615764464748644,0.6615764464748644,10.661576446474864,0.06346176456235038,0.9880979097752424,10.0,0.05952380952380952,0.017857142857142856,0.04560462170520752,True,False,False,28.548423553525136,2.831381407322283,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C8,L1,TypeB,25.96,1.02,10.65,11.65,12.65,60.0,1.07,1.17,1.27,6.0,Absolute_Failure,50,True,37.51399171800054,11.79694957179769,63.23103386420339,-22.48600828199946,22.48600828199946,26.86399171800054,0.1599047126071461,2.5224405369014593,49.35,0.29375,0.017857142857142856,0.14204756975000324,True,False,True,12.48600828199946,-13.23103386420339,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C9,L1,TypeB,28.17,1.25,12.03,13.03,32.03,34.03,1.2,1.3,3.2,3.4,Sudden_Anomaly,50,True,32.79254503531498,7.07550288911213,58.50958718151783,-1.2374549646850213,1.2374549646850213,20.76254503531498,0.12358657759116058,1.725897342918951,22.0,0.13095238095238096,0.017857142857142856,0.10572943473401772,True,False,True,17.20745496468502,-8.50958718151783,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C10,L1,TypeC,33.89,1.27,11.46,13.46,16.46,21.46,1.15,1.35,1.65,2.15,Latent_Defect,50,True,21.817804939227564,-3.899237206975286,47.534847085430414,0.35780493922756307,0.35780493922756307,10.357804939227563,0.06165360082873549,0.9038224205259653,10.0,0.05952380952380952,0.017857142857142856,0.04379645797159264,True,False,False,28.182195060772436,2.465152914569586,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
