component_id,lot_id,component_type,iddq_0h_uA,iddq_24h_uA,early_iddq_change_uA,drift_0_24_uA_per_h,anomaly_score,current_anomaly_level,predicted_168h_uA,prediction_lower_uA,prediction_upper_uA,absolute_limit_uA,predicted_limit_margin_uA,upper_limit_margin_uA,predicted_limit_utilization_percent,upper_limit_utilization_percent,prediction_interval_width_uA,predicted_drift_rate,safety_slope,drift_slope_excess,future_drift_risk,risk_score,final_risk_level,final_decision,primary_risk_driver,evidence_summary,screening_category,screening_recommendation,detailed_explanation
C010340,LOT-001,IC_A,26.75,41.195,14.445,0.601875,1.0,HIGH,71.94511225779087,68.2896151744452,75.60060934113653,50.0,-21.945112257790868,-25.600609341136533,143.89022451558174,151.20121868227307,7.31099416669133,0.2690185253439933,0.0078669642857142,0.261151561058279,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C010340 has been classified as CRITICAL risk. Early Iddq changed from 26.75 µA at 0h to 41.20 µA at 24h. The early drift rate is 0.6019 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 71.95 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 21.95 µA above the limit. The 90% prediction interval is approximately 68.29 to 75.60 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
C040142,LOT-004,IC_A,26.595,39.862,13.267000000000003,0.5527916666666668,1.0,HIGH,71.77685844727498,68.12136136392931,75.43235553062064,50.0,-21.776858447274975,-25.43235553062064,143.55371689454995,150.86471106124128,7.31099416669133,0.268939633614732,0.0078669642857142,0.2610726693290177,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C040142 has been classified as CRITICAL risk. Early Iddq changed from 26.59 µA at 0h to 39.86 µA at 24h. The early drift rate is 0.5528 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 71.78 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 21.78 µA above the limit. The 90% prediction interval is approximately 68.12 to 75.43 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
C070070,LOT-007,IC_A,25.215,39.788,14.572999999999997,0.6072083333333332,1.0,HIGH,70.29277335690696,66.6372762735613,73.94827044025263,50.0,-20.292773356906963,-23.948270440252628,140.58554671381393,147.89654088050526,7.31099416669133,0.2683200795053985,0.0078669642857142,0.2604531152196843,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C070070 has been classified as CRITICAL risk. Early Iddq changed from 25.21 µA at 0h to 39.79 µA at 24h. The early drift rate is 0.6072 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 70.29 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 20.29 µA above the limit. The 90% prediction interval is approximately 66.64 to 73.95 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
C020254,LOT-002,IC_A,24.964,38.014,13.050000000000004,0.5437500000000002,1.0,HIGH,69.97138062211403,66.31588353876836,73.62687770545969,50.0,-19.971380622114026,-23.62687770545969,139.94276124422805,147.25375541091938,7.31099416669133,0.2679010751316311,0.0078669642857142,0.2600341108459169,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C020254 has been classified as CRITICAL risk. Early Iddq changed from 24.96 µA at 0h to 38.01 µA at 24h. The early drift rate is 0.5438 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 69.97 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 19.97 µA above the limit. The 90% prediction interval is approximately 66.32 to 73.63 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
C030266,LOT-003,IC_A,24.393,37.899,13.506,0.56275,1.0,HIGH,69.35411726803748,65.69862018469182,73.00961435138315,50.0,-19.354117268037484,-23.00961435138315,138.70823453607497,146.0192287027663,7.31099416669133,0.2676256980240326,0.0078669642857142,0.2597587337383183,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C030266 has been classified as CRITICAL risk. Early Iddq changed from 24.39 µA at 0h to 37.90 µA at 24h. The early drift rate is 0.5627 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 69.35 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 19.35 µA above the limit. The 90% prediction interval is approximately 65.70 to 73.01 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
C090070,LOT-009,IC_A,25.014,37.632,12.617999999999999,0.5257499999999999,1.0,HIGH,69.94044487292572,66.28494778958006,73.59594195627139,50.0,-19.940444872925724,-23.59594195627139,139.88088974585145,147.19188391254278,7.31099416669133,0.267419314719796,0.0078669642857142,0.2595523504340817,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C090070 has been classified as CRITICAL risk. Early Iddq changed from 25.01 µA at 0h to 37.63 µA at 24h. The early drift rate is 0.5257 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 69.94 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 19.94 µA above the limit. The 90% prediction interval is approximately 66.28 to 73.60 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
C010294,LOT-001,IC_A,23.74,38.058,14.318000000000001,0.5965833333333334,1.0,HIGH,68.63918340845954,64.98368632511388,72.29468049180521,50.0,-18.639183408459544,-22.29468049180521,137.2783668169191,144.58936098361042,7.31099416669133,0.2672570440979735,0.0078669642857142,0.2593900798122592,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C010294 has been classified as CRITICAL risk. Early Iddq changed from 23.74 µA at 0h to 38.06 µA at 24h. The early drift rate is 0.5966 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 68.64 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 18.64 µA above the limit. The 90% prediction interval is approximately 64.98 to 72.29 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
C080432,LOT-008,IC_A,24.345,37.17,12.825000000000003,0.5343750000000002,1.0,HIGH,69.20691698430731,65.55141990096165,72.86241406765298,50.0,-19.206916984307313,-22.862414067652978,138.41383396861463,145.72482813530596,7.31099416669133,0.2670352201446864,0.0078669642857142,0.2591682558589721,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C080432 has been classified as CRITICAL risk. Early Iddq changed from 24.34 µA at 0h to 37.17 µA at 24h. The early drift rate is 0.5344 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 69.21 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 19.21 µA above the limit. The 90% prediction interval is approximately 65.55 to 72.86 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
C080040,LOT-008,IC_A,26.972,41.925,14.952999999999996,0.6230416666666665,1.0,HIGH,71.77246087783057,68.1169637944849,75.42795796117623,50.0,-21.772460877830568,-25.427957961176233,143.54492175566114,150.85591592235247,7.31099416669133,0.2666694099870867,0.0078669642857142,0.2588024457013724,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C080040 has been classified as CRITICAL risk. Early Iddq changed from 26.97 µA at 0h to 41.92 µA at 24h. The early drift rate is 0.6230 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 71.77 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 21.77 µA above the limit. The 90% prediction interval is approximately 68.12 to 75.43 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
C010064,LOT-001,IC_A,25.077,38.97,13.892999999999997,0.5788749999999999,1.0,HIGH,69.75232517884199,66.09682809549632,73.40782226218765,50.0,-19.752325178841986,-23.40782226218765,139.50465035768397,146.8156445243753,7.31099416669133,0.2659245546359642,0.0078669642857142,0.2580575903502499,HIGH,100.0,CRITICAL,IMMEDIATE_REVIEW,PREDICTED_FUTURE_FAILURE,Multiple early anomaly indicators triggered | Iddq increased between 0h and 24h | Predicted 168h Iddq exceeds specification limit | Upper prediction bound reaches or exceeds specification limit | Predicted future drift exceeds dynamic safety boundary,IMMEDIATE_REVIEW,IMMEDIATE ENGINEERING REVIEW: Prioritize this component for confirmatory screening and investigate the predicted future failure risk.,Component C010064 has been classified as CRITICAL risk. Early Iddq changed from 25.08 µA at 0h to 38.97 µA at 24h. The early drift rate is 0.5789 µA/hour. Current anomaly level is HIGH with an anomaly evidence score of 1.00. The model predicts 69.75 µA at 168h. The applicable prototype specification limit is 50.00 µA. The prediction is 19.75 µA above the limit. The 90% prediction interval is approximately 66.10 to 73.41 µA. The predicted future drift is above the dynamic safety boundary. Final screening decision: IMMEDIATE_REVIEW.
