component_id,iddq_168h_uA,ground_truth,absolute_limit_uA,predicted_168h_uA,final_risk_level,final_decision,prediction_error_uA,absolute_prediction_error_uA,actual_future_failure,predicted_future_failure,actual_abnormal,predicted_abnormal,component_type
C080205,9.883,Normal,50.0,9.768240486376078,LOW,NORMAL,-0.11475951362392145,0.11475951362392145,False,False,False,False,IC_A
C090032,11.474,Normal,50.0,11.538687997107422,LOW,NORMAL,0.06468799710742168,0.06468799710742168,False,False,False,False,IC_A
C030009,10.415,Normal,50.0,10.6526227642369,LOW,NORMAL,0.23762276423690132,0.23762276423690132,False,False,False,False,IC_A
C070361,22.122,High_Stable,50.0,22.16578324083173,WATCH,MONITOR,0.04378324083172913,0.04378324083172913,False,False,True,True,IC_A
C020417,9.797,Normal,50.0,9.57043174178932,LOW,NORMAL,-0.22656825821067983,0.22656825821067983,False,False,False,False,IC_A
C080259,12.79,Normal,50.0,12.272795921992758,LOW,NORMAL,-0.5172040780072411,0.5172040780072411,False,False,False,False,IC_A
C020058,9.867,Normal,50.0,9.667738337430515,LOW,NORMAL,-0.1992616625694854,0.1992616625694854,False,False,False,False,IC_A
C030132,9.347,Normal,50.0,9.598253628119645,LOW,NORMAL,0.25125362811964536,0.25125362811964536,False,False,False,False,IC_A
C060219,43.957,Latent_Defect,50.0,38.143718015858646,MEDIUM,ENHANCED_MONITORING,-5.813281984141355,5.813281984141355,False,False,True,True,IC_A
C080488,21.257,High_Stable,50.0,20.71759158903941,WATCH,MONITOR,-0.5394084109605899,0.5394084109605899,False,False,True,True,IC_A
C040289,22.29,High_Stable,50.0,22.105877254889503,WATCH,MONITOR,-0.1841227451104963,0.1841227451104963,False,False,True,True,IC_A
C070365,9.202,Normal,50.0,9.510925645535812,LOW,NORMAL,0.3089256455358118,0.3089256455358118,False,False,False,False,IC_A
C020350,10.776,Normal,50.0,11.048670018275333,LOW,NORMAL,0.272670018275333,0.272670018275333,False,False,False,False,IC_A
C070359,20.702,High_Stable,50.0,20.98079055675228,WATCH,MONITOR,0.27879055675227704,0.27879055675227704,False,False,True,True,IC_A
C100129,11.686,Normal,50.0,11.362828070907849,LOW,NORMAL,-0.3231719290921511,0.3231719290921511,False,False,False,False,IC_A
C040016,9.902,Normal,50.0,10.42862025920076,LOW,NORMAL,0.5266202592007616,0.5266202592007616,False,False,False,False,IC_A
C100455,11.352,Normal,50.0,11.372339144102517,LOW,NORMAL,0.02033914410251647,0.02033914410251647,False,False,False,False,IC_A
C060419,24.182,High_Stable,50.0,23.892878476370857,WATCH,MONITOR,-0.28912152362914156,0.28912152362914156,False,False,True,True,IC_A
C090411,10.851,Normal,50.0,12.937073514525531,MEDIUM,ENHANCED_MONITORING,2.0860735145255305,2.0860735145255305,False,False,False,True,IC_A
C020076,11.067,Normal,50.0,12.057921947911652,LOW,NORMAL,0.9909219479116516,0.9909219479116516,False,False,False,False,IC_A
C060208,10.242,Normal,50.0,12.39003305290937,MEDIUM,ENHANCED_MONITORING,2.148033052909369,2.148033052909369,False,False,False,True,IC_A
C020405,10.349,Normal,50.0,10.496520388494917,LOW,NORMAL,0.14752038849491633,0.14752038849491633,False,False,False,False,IC_A
C020131,31.673,Sudden_Anomaly,50.0,9.725393698768093,MEDIUM,ENHANCED_MONITORING,-21.947606301231907,21.947606301231907,False,False,True,True,IC_A
