metric,value
Prediction_MAE_uA,1.180534300004882
Prediction_RMSE_uA,3.1205541346893737
Prediction_R2,0.9387674825606672
Prediction_Error_P50_uA,0.3317705758618201
Prediction_Error_P90_uA,2.9359916827424475
Prediction_Error_P95_uA,5.308105697993845
Failure_Accuracy,0.999
Failure_Precision,0.9850746268656716
Failure_Recall,0.99
Failure_F1,0.9875311720698254
Actual_Future_Failures,200.0
Predicted_Future_Failures,201.0
Risk_Accuracy,0.8636
Risk_Precision,0.600715137067938
Risk_Recall,0.9882352941176471
Risk_F1,0.7472201630837657
Latent_Defects,345.0
Latent_Defects_Detected,345.0
Latent_Defect_Detection_Rate,1.0
Absolute_Failures,200.0
Absolute_Failures_Detected,198.0
Absolute_Failure_Detection_Rate,0.99
Total_Components,5000.0
Priority_Screening_Components,209.0
Priority_Screening_Load_Percent,4.18
Screening_Reduction_Percent,95.82
