component_id,component_type,lot_id,risk_score,qa_classification,priority_rank,screening_recommendation,strongest_risk_factor,explanation_summary
C6955,TypeA,L4,84.20405482496517,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C6955 was analyzed for predicted. The latest observed value is 31.7517 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 31.7517 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2917,TypeC,L2,84.18399730280028,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C2917 was analyzed for predicted. The latest observed value is 49.8856 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 49.8856 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2659,TypeC,L2,83.70988573567514,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C2659 was analyzed for predicted. The latest observed value is 42.6449 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 42.6449 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C4160,TypeA,L3,82.82435510867006,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C4160 was analyzed for predicted. The latest observed value is 31.8954 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 31.8954 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1923,TypeB,L1,82.67305428852535,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C1923 was analyzed for predicted. The latest observed value is 40.7867 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 40.7867 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6647,TypeB,L4,82.31886328162815,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C6647 was analyzed for predicted. The latest observed value is 45.2915 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 45.2915 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2817,TypeC,L2,81.66023858865854,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C2817 was analyzed for predicted. The latest observed value is 39.3354 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 39.3354 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C7102,TypeC,L4,81.18530170786525,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C7102 was analyzed for predicted. The latest observed value is 41.4380 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 41.4380 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C7099,TypeB,L4,81.17187447431591,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C7099 was analyzed for predicted. The latest observed value is 41.0164 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 41.0164 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C9469,TypeC,L5,80.98723897830801,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C9469 was analyzed for predicted. The latest observed value is 46.9298 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 46.9298 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6465,TypeB,L4,80.94914868367788,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C6465 was analyzed for predicted. The latest observed value is 34.6285 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 34.6285 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1933,TypeA,L1,80.82102422462819,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C1933 was analyzed for predicted. The latest observed value is 41.9373 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 41.9373 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6210,TypeA,L4,80.81879761618687,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C6210 was analyzed for predicted. The latest observed value is 37.8251 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 37.8251 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2115,TypeB,L2,80.60643225362554,Review,1,Follow the configured QA policy for this classification.,future_factor,Component C2115 was analyzed for predicted. The latest observed value is 47.2892 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 47.2892 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C8729,TypeA,L5,79.8605265588516,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C8729 was analyzed for predicted. The latest observed value is 43.7081 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 43.7081 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C7305,TypeA,L4,79.46827325529472,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C7305 was analyzed for predicted. The latest observed value is 33.3142 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 33.3142 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C3127,TypeC,L2,79.40839930281048,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C3127 was analyzed for predicted. The latest observed value is 36.2192 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 36.2192 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C8749,TypeC,L5,79.34798053377278,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C8749 was analyzed for predicted. The latest observed value is 39.2459 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 39.2459 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1331,TypeB,L1,79.30758903086625,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1331 was analyzed for predicted. The latest observed value is 34.1333 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 34.1333 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C572,TypeC,L1,79.19765132925804,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C572 was analyzed for predicted. The latest observed value is 49.5456 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 49.5456 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1560,TypeA,L1,79.14719265093927,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1560 was analyzed for predicted. The latest observed value is 36.2117 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 36.2117 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2446,TypeC,L2,79.14090743458227,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C2446 was analyzed for predicted. The latest observed value is 36.5262 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 36.5262 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C4326,TypeC,L3,79.04029315435564,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C4326 was analyzed for predicted. The latest observed value is 30.2109 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 30.2109 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C7561,TypeB,L4,78.96588358742723,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C7561 was analyzed for predicted. The latest observed value is 31.8889 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 31.8889 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C5124,TypeB,L3,78.90094529631025,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C5124 was analyzed for predicted. The latest observed value is 34.7075 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 34.7075 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C117,TypeC,L1,78.75278770650408,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C117 was analyzed for predicted. The latest observed value is 37.1292 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 37.1292 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1897,TypeA,L1,78.68849443732523,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1897 was analyzed for predicted. The latest observed value is 33.8829 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 33.8829 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6677,TypeC,L4,78.67878608041549,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C6677 was analyzed for predicted. The latest observed value is 36.8355 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 36.8355 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C8101,TypeA,L5,78.62397326754494,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C8101 was analyzed for predicted. The latest observed value is 44.7592 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 44.7592 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C7359,TypeC,L4,78.4546464263091,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C7359 was analyzed for predicted. The latest observed value is 37.4877 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 37.4877 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C4140,TypeA,L3,78.4393604738565,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C4140 was analyzed for predicted. The latest observed value is 32.8514 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 32.8514 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2224,TypeA,L2,78.39398614074999,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C2224 was analyzed for predicted. The latest observed value is 32.3626 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 32.3626 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C4398,TypeB,L3,78.35957154551606,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C4398 was analyzed for predicted. The latest observed value is 30.8484 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 30.8484 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2586,TypeB,L2,78.3004045244248,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C2586 was analyzed for predicted. The latest observed value is 38.8230 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 38.8230 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C9593,TypeC,L5,78.29178928868033,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C9593 was analyzed for predicted. The latest observed value is 42.8309 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 42.8309 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C3584,TypeB,L2,78.2370764256118,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C3584 was analyzed for predicted. The latest observed value is 31.2752 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 31.2752 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6170,TypeA,L4,78.22938610233098,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C6170 was analyzed for predicted. The latest observed value is 37.1850 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 37.1850 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C7152,TypeC,L4,78.18831403667917,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C7152 was analyzed for predicted. The latest observed value is 30.4145 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 30.4145 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C9637,TypeB,L5,78.18670513020174,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C9637 was analyzed for predicted. The latest observed value is 34.1035 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 34.1035 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C3472,TypeA,L2,78.1799442187284,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C3472 was analyzed for predicted. The latest observed value is 46.8559 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 46.8559 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C3888,TypeA,L2,78.10177650630038,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C3888 was analyzed for predicted. The latest observed value is 36.2118 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 36.2118 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C9928,TypeC,L5,78.05960968781199,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C9928 was analyzed for predicted. The latest observed value is 32.4072 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 32.4072 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1226,TypeC,L1,78.01155524529278,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1226 was analyzed for predicted. The latest observed value is 35.2188 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 35.2188 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2052,TypeB,L2,77.93789942747772,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C2052 was analyzed for predicted. The latest observed value is 31.9931 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 31.9931 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1151,TypeC,L1,77.91482871675744,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1151 was analyzed for predicted. The latest observed value is 35.1952 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 35.1952 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C7572,TypeC,L4,77.87715971388621,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C7572 was analyzed for predicted. The latest observed value is 44.0696 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 44.0696 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
