component_id,component_type,parameter,time,value,lower_limit,upper_limit
C010001,IC_A,iddq,0,10.856,0,50
C010001,IC_A,iddq,0,10.856,0,50
C010001,IC_A,iddq,0,10.856,0,50
C010001,IC_A,iddq,0,10.856,0,50
C010001,IC_A,iddq,0,10.856,0,50
C010001,IC_A,iddq,24,11.041,0,50
C010001,IC_A,iddq,24,11.041,0,50
C010001,IC_A,iddq,24,-0.1451344791129906,0,50
C010001,IC_A,iddq,24,11.041,0,50
C010001,IC_A,iddq,24,-0.1451344791129906,0,50
C010001,IC_A,iddq,24,11.041,0,50
C010001,IC_A,iddq,24,11.041,0,50
C010001,IC_A,iddq,24,-0.1451344791129906,0,50
C010001,IC_A,iddq,96,11.609,0,50
C010001,IC_A,iddq,96,-0.0035140807990088,0,50
C010001,IC_A,iddq,96,11.609,0,50
C010001,IC_A,iddq,96,-0.0035140807990088,0,50
C010001,IC_A,iddq,96,11.609,0,50
C010001,IC_A,iddq,96,-0.0035140807990088,0,50
C010001,IC_A,iddq,168,12.044,0,50
C010001,IC_A,iddq,168,0.1049452031210302,0,50
C010001,IC_A,iddq,168,12.044,0,50
C010001,IC_A,iddq,168,0.1049452031210302,0,50
C010001,IC_A,iddq,168,12.044,0,50
C010001,IC_A,iddq,168,12.044,0,50
C010001,IC_A,iddq,168,0.1049452031210302,0,50
C010002,IC_A,iddq,0,10.12,0,50
C010002,IC_A,iddq,0,10.12,0,50
C010002,IC_A,iddq,0,10.12,0,50
C010002,IC_A,iddq,0,10.12,0,50
C010002,IC_A,iddq,0,10.12,0,50
C010002,IC_A,iddq,24,10.18,0,50
C010002,IC_A,iddq,24,10.18,0,50
C010002,IC_A,iddq,24,-0.3598090617685163,0,50
C010002,IC_A,iddq,24,10.18,0,50
C010002,IC_A,iddq,24,-0.3598090617685163,0,50
C010002,IC_A,iddq,24,10.18,0,50
C010002,IC_A,iddq,24,10.18,0,50
C010002,IC_A,iddq,24,-0.3598090617685163,0,50
C010002,IC_A,iddq,96,10.318,0,50
C010002,IC_A,iddq,96,-0.3254012889387109,0,50
C010002,IC_A,iddq,96,10.318,0,50
C010002,IC_A,iddq,96,-0.3254012889387109,0,50
C010002,IC_A,iddq,96,10.318,0,50
C010002,IC_A,iddq,96,-0.3254012889387109,0,50
C010002,IC_A,iddq,168,10.325,0,50
C010002,IC_A,iddq,168,-0.3236559671285034,0,50
C010002,IC_A,iddq,168,10.325,0,50
C010002,IC_A,iddq,168,-0.3236559671285034,0,50
C010002,IC_A,iddq,168,10.325,0,50
C010002,IC_A,iddq,168,10.325,0,50
C010002,IC_A,iddq,168,-0.3236559671285034,0,50
C010003,IC_A,iddq,0,10.885,0,50
C010003,IC_A,iddq,0,10.885,0,50
C010003,IC_A,iddq,0,10.885,0,50
C010003,IC_A,iddq,0,10.885,0,50
C010003,IC_A,iddq,0,10.885,0,50
C010003,IC_A,iddq,24,10.596,0,50
C010003,IC_A,iddq,24,10.596,0,50
C010003,IC_A,iddq,24,-0.2560870799047548,0,50
C010003,IC_A,iddq,24,10.596,0,50
C010003,IC_A,iddq,24,-0.2560870799047548,0,50
C010003,IC_A,iddq,24,10.596,0,50
C010003,IC_A,iddq,24,10.596,0,50
C010003,IC_A,iddq,24,-0.2560870799047548,0,50
C010003,IC_A,iddq,96,11.074,0,50
C010003,IC_A,iddq,96,-0.1369065334362982,0,50
C010003,IC_A,iddq,96,11.074,0,50
C010003,IC_A,iddq,96,-0.1369065334362982,0,50
C010003,IC_A,iddq,96,11.074,0,50
C010003,IC_A,iddq,96,-0.1369065334362982,0,50
C010003,IC_A,iddq,168,11.918,0,50
C010003,IC_A,iddq,168,0.0735294105372945,0,50
C010003,IC_A,iddq,168,11.918,0,50
C010003,IC_A,iddq,168,0.0735294105372945,0,50
C010003,IC_A,iddq,168,11.918,0,50
C010003,IC_A,iddq,168,11.918,0,50
C010003,IC_A,iddq,168,0.0735294105372945,0,50
C010004,IC_A,iddq,0,9.661,0,50
C010004,IC_A,iddq,0,9.661,0,50
C010004,IC_A,iddq,0,9.661,0,50
C010004,IC_A,iddq,0,9.661,0,50
C010004,IC_A,iddq,0,9.661,0,50
C010004,IC_A,iddq,24,9.804,0,50
C010004,IC_A,iddq,24,9.804,0,50
C010004,IC_A,iddq,24,-0.4535577761453774,0,50
C010004,IC_A,iddq,24,9.804,0,50
C010004,IC_A,iddq,24,-0.4535577761453774,0,50
C010004,IC_A,iddq,24,9.804,0,50
C010004,IC_A,iddq,24,9.804,0,50
C010004,IC_A,iddq,24,-0.4535577761453774,0,50
C010004,IC_A,iddq,96,10.411,0,50
C010004,IC_A,iddq,96,-0.302213442031668,0,50
C010004,IC_A,iddq,96,10.411,0,50
C010004,IC_A,iddq,96,-0.302213442031668,0,50
C010004,IC_A,iddq,96,10.411,0,50
C010004,IC_A,iddq,96,-0.302213442031668,0,50
C010004,IC_A,iddq,168,10.867,0,50
C010004,IC_A,iddq,168,-0.1885181926810061,0,50
C010004,IC_A,iddq,168,10.867,0,50
C010004,IC_A,iddq,168,-0.1885181926810061,0,50
C010004,IC_A,iddq,168,10.867,0,50
C010004,IC_A,iddq,168,10.867,0,50
C010004,IC_A,iddq,168,-0.1885181926810061,0,50
C010005,IC_A,iddq,0,10.7,0,50
C010005,IC_A,iddq,0,10.7,0,50
C010005,IC_A,iddq,0,10.7,0,50
C010005,IC_A,iddq,0,10.7,0,50
C010005,IC_A,iddq,0,10.7,0,50
C010005,IC_A,iddq,24,10.872,0,50
C010005,IC_A,iddq,24,10.872,0,50
C010005,IC_A,iddq,24,-0.1872715342451439,0,50
C010005,IC_A,iddq,24,10.872,0,50
C010005,IC_A,iddq,24,-0.1872715342451439,0,50
C010005,IC_A,iddq,24,10.872,0,50
C010005,IC_A,iddq,24,10.872,0,50
C010005,IC_A,iddq,24,-0.1872715342451439,0,50
C010005,IC_A,iddq,96,10.912,0,50
C010005,IC_A,iddq,96,-0.1772982667582435,0,50
C010005,IC_A,iddq,96,10.912,0,50
C010005,IC_A,iddq,96,-0.1772982667582435,0,50
C010005,IC_A,iddq,96,10.912,0,50
C010005,IC_A,iddq,96,-0.1772982667582435,0,50
C010005,IC_A,iddq,168,11.382,0,50
C010005,IC_A,iddq,168,-0.0601123737871671,0,50
C010005,IC_A,iddq,168,11.382,0,50
C010005,IC_A,iddq,168,-0.0601123737871671,0,50
C010005,IC_A,iddq,168,11.382,0,50
C010005,IC_A,iddq,168,11.382,0,50
C010005,IC_A,iddq,168,-0.0601123737871671,0,50
C010006,IC_A,iddq,0,27.744,0,50
C010006,IC_A,iddq,0,27.744,0,50
C010006,IC_A,iddq,0,27.744,0,50
C010006,IC_A,iddq,0,27.744,0,50
C010006,IC_A,iddq,0,27.744,0,50
C010006,IC_A,iddq,0,27.744,0,50
C010006,IC_A,iddq,24,40.725,0,50
C010006,IC_A,iddq,24,40.725,0,50
