stage,component_id,lot_id,component_type,temperature_C,voltage_V,anomaly_factor,drift_factor,future_factor,specification_factor,risk_score,qa_classification,risk_explanation,combined_anomaly_score,anomaly_flag,statistical_score,statistical_anomaly_flag,temporal_anomaly_score,temporal_anomaly_flag,isolation_forest_score,isolation_forest_flag,statistical_evidence_count,limit_violation,limit_excess_uA,absolute_limit_uA,predicted_168h_uA,prediction_lower_uA,prediction_upper_uA,prediction_error_uA,absolute_prediction_error_uA,predicted_drift_uA,predicted_drift_rate,predicted_relative_drift,safety_slope,drift_slope_excess,early_drift_flag,predicted_limit_exceeded,uncertainty_adjusted_failure,limit_margin_uA,upper_bound_limit_margin_uA,future_drift_risk,module_b_status,module_b_match
5,C6955,L4,TypeA,29.39,1.27,0.9268244990226372,0.4559727941714419,1.0,1.0,84.20405482496517,Review,Risk score: 84.20/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8954635700323388,1,0.9475,1,1.0,1,0.8434271400646774,1,6,1,10.0,50,31.75173226053989,6.034690114337039,57.46877440674274,-28.24826773946011,28.24826773946011,23.27173226053989,0.1385222158365469,2.744308049591968,0.0178571428571428,0.1206650729794041,True,False,True,18.24826773946011,-7.468774406742739,HIGH,PREDICTED_FAILURE,True
5,C2917,L2,TypeC,25.26,1.18,0.8993394583261579,0.48815254212062176,1.0,1.0,84.18399730280028,Review,Risk score: 84.18/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8561992261802258,1,0.9475,1,1.0,1,0.7648984523604517,1,6,1,10.0,50,49.88557558732669,24.16853344112384,75.60261773352954,-10.114424412673308,10.114424412673308,35.66557558732669,0.2122950927817065,2.508127678433663,0.0178571428571428,0.1944379499245636,True,False,True,0.1144244126733085,-25.60261773352954,HIGH,PREDICTED_FAILURE,True
5,C2659,L2,TypeC,26.27,1.17,0.9206296464033245,0.44363985374301584,1.0,1.0,83.70988573567514,Review,Risk score: 83.71/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.886613780576178,1,0.9475,1,1.0,1,0.8257275611523559,1,6,1,10.0,50,42.64494381375814,16.92790166755529,68.36198595996099,-17.35505618624186,17.35505618624186,27.84494381375814,0.1657437131771317,1.8814151225512252,0.0178571428571428,0.1478865703199889,True,False,True,7.35505618624186,-18.36198595996099,HIGH,PREDICTED_FAILURE,True
5,C4160,L3,TypeA,32.38,1.24,0.8760186477702671,0.4617518270224822,1.0,1.0,82.82435510867006,Review,Risk score: 82.82/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8228837825289531,1,0.8540604999999994,1,1.0,1,0.7917070650579068,1,4,1,10.0,50,31.89539313198392,6.178350985781066,57.612435278186766,-28.104606868016084,28.104606868016084,23.865393131983915,0.1420559114999042,2.972029032625644,0.0178571428571428,0.1241987686427614,True,False,True,18.104606868016084,-7.612435278186766,HIGH,PREDICTED_FAILURE,True
5,C1923,L1,TypeB,26.32,1.22,0.8953682096211119,0.43248031999567993,1.0,1.0,82.67305428852535,Review,Risk score: 82.67/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8505260137444455,1,0.895,1,1.0,1,0.8060520274888909,1,4,1,10.0,50,40.7866854789471,15.06964333274425,66.50372762514995,-19.2133145210529,19.2133145210529,26.0366854789471,0.1549802707080184,1.7651990155218371,0.0178571428571428,0.1371231278508756,True,False,True,9.2133145210529,-16.50372762514995,HIGH,PREDICTED_FAILURE,True
5,C6647,L4,TypeB,25.48,1.25,0.8510223052834477,0.4715277649249886,1.0,1.0,82.31886328162815,Review,Risk score: 82.32/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7871747218334967,1,0.895,1,1.0,1,0.6793494436669933,1,4,1,10.0,50,45.29154952493335,19.57450737873049,71.0085916711362,-14.708450475066655,14.708450475066655,31.671549524933347,0.1885211281246032,2.325370743387177,0.0178571428571428,0.1706639852674604,True,False,True,4.708450475066655,-21.0085916711362,HIGH,PREDICTED_FAILURE,True
5,C2817,L2,TypeC,33.48,1.13,0.8695416666666667,0.4229595435463416,1.0,1.0,81.66023858865854,Review,Risk score: 81.66/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.86125,1,0.7224999999999999,1,0.25,0,1.0,1,6,1,10.0,50,39.33536198885215,13.6183198426493,65.052404135055,-20.66463801114785,20.66463801114785,24.60536198885215,0.1464604880288818,1.6704251180483467,0.0178571428571428,0.128603345171739,True,False,True,10.66463801114785,-15.052404135055,HIGH,PREDICTED_FAILURE,True
5,C7102,L4,TypeC,30.57,1.21,0.8370460684689145,0.4429567861519129,1.0,1.0,81.18530170786525,Review,Risk score: 81.19/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8148277168603542,1,0.7224999999999999,1,0.25,0,0.9071554337207084,1,6,1,10.0,50,41.438035857557104,15.720993711354254,67.15507800375995,-18.561964142442896,18.561964142442896,27.1980358575571,0.161893070580697,1.9099744281992344,0.0178571428571428,0.1440359277235542,True,False,True,8.561964142442896,-17.155078003759954,HIGH,PREDICTED_FAILURE,True
5,C7099,L4,TypeB,25.3,1.09,0.7900449150669917,0.49882108089224664,1.0,1.0,81.17187447431591,Review,Risk score: 81.17/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7953022596195121,1,0.8424999999999998,1,1.0,1,0.7481045192390242,1,2,1,10.0,50,41.01641322414477,15.29937107794192,66.73345537034763,-18.98358677585523,18.98358677585523,32.82641322414477,0.1953953168103855,4.00810906277714,0.0178571428571428,0.1775381739532427,True,False,True,8.98358677585523,-16.733455370347627,HIGH,PREDICTED_FAILURE,True
5,C9469,L5,TypeC,25.28,1.01,0.8110484555727452,0.4662314124450261,1.0,1.0,80.98723897830801,Review,Risk score: 80.99/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8253073174848742,1,0.8424999999999998,1,1.0,1,0.8081146349697487,1,2,1,10.0,50,46.929780892132456,21.21273874592961,72.6468230383353,-13.070219107867544,13.070219107867544,31.959780892132457,0.1902367910245979,2.134921903282061,0.0178571428571428,0.1723796481674551,True,False,True,3.070219107867544,-22.6468230383353,HIGH,PREDICTED_FAILURE,True
5,C6465,L4,TypeB,33.6,1.03,0.8061986639916732,0.47052755055710693,1.0,1.0,80.94914868367788,Review,Risk score: 80.95/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8183790437976285,1,0.8424999999999998,1,1.0,1,0.7942580875952572,1,2,1,10.0,50,34.628526536705586,8.911484390502736,60.34556868290844,-25.37147346329441,25.37147346329441,26.158526536705587,0.155705515099438,3.0883738532119933,0.0178571428571428,0.1378483722422951,True,False,True,15.371473463294414,-10.345568682908436,HIGH,PREDICTED_FAILURE,True
5,C1933,L1,TypeA,28.3,1.04,0.822559068365314,0.44577008694675113,1.0,1.0,80.82102422462819,Review,Risk score: 80.82/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7465129548075915,1,0.8450467272727273,1,1.0,1,0.6479791823424557,1,4,1,10.0,50,41.93729311634506,16.22025097014221,67.6543352625479,-18.06270688365494,18.06270688365494,27.677293116345066,0.1647457923591967,1.9409041456062457,0.0178571428571428,0.1468886495020539,True,False,True,8.06270688365494,-17.654335262547903,HIGH,PREDICTED_FAILURE,True
5,C6210,L4,TypeA,26.8,1.04,0.7876164641545043,0.48761214766207006,1.0,1.0,80.81879761618687,Review,Risk score: 80.82/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7918330440302443,1,0.8424999999999998,1,1.0,1,0.741166088060489,1,2,1,10.0,50,37.82509833373599,12.108056187533135,63.54214047993884,-22.174901666264013,22.174901666264013,29.755098333735987,0.1771136805579523,3.687124948418338,0.0178571428571428,0.1592565377008094,True,False,True,12.174901666264011,-13.542140479938835,HIGH,PREDICTED_FAILURE,True
5,C2115,L2,TypeB,34.76,1.29,0.7962535458823569,0.4687530350861937,1.0,1.0,80.60643225362554,Review,Risk score: 80.61/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8041717322128908,1,0.8424999999999998,1,1.0,1,0.7658434644257819,1,2,1,10.0,50,47.28921238067638,21.57217023447353,73.00625452687923,-12.710787619323618,12.710787619323618,32.37921238067638,0.1927334070278356,2.171644022848852,0.0178571428571428,0.1748762641706927,True,False,True,2.710787619323618,-23.006254526879232,HIGH,PREDICTED_FAILURE,True
5,C8729,L5,TypeA,34.85,1.25,0.7849891054181597,0.45243413585227266,1.0,1.0,79.8605265588516,Review,Risk score: 79.86/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.6928415791687996,1,0.6974801630434773,1,1.0,1,0.6882029952941221,1,6,1,10.0,50,43.70809438502979,17.99105223882694,69.42513653123264,-16.29190561497021,16.29190561497021,29.11809438502979,0.173321990387082,1.9957569832097184,0.0178571428571428,0.1554648475299392,True,False,True,6.291905614970212,-19.42513653123264,HIGH,PREDICTED_FAILURE,True
5,C7305,L4,TypeA,31.76,1.19,0.8336261768214367,0.3783795180260644,1.0,1.0,79.46827325529472,Review,Risk score: 79.47/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7623231097449097,1,0.8044847499999996,1,1.0,1,0.7201614694898196,1,4,1,10.0,50,33.31418131199698,7.597139165794132,59.03122345819983,-26.685818688003017,26.685818688003017,18.764181311996985,0.1116915554285534,1.2896344544327822,0.0178571428571428,0.0938344125714106,True,False,True,16.685818688003017,-9.031223458199833,HIGH,PREDICTED_FAILURE,True
5,C3127,L2,TypeC,25.85,1.16,0.7479005099306995,0.47885536019557995,1.0,1.0,79.40839930281048,Review,Risk score: 79.41/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7350959665676661,1,0.8424999999999998,1,1.0,1,0.6276919331353323,1,2,1,10.0,50,36.21923299478358,10.502190848580732,61.93627514098643,-23.78076700521642,23.78076700521642,27.87923299478358,0.1659478154451403,3.342833692420094,0.0178571428571428,0.1480906725879975,True,False,True,13.780767005216418,-11.936275140986432,HIGH,PREDICTED_FAILURE,True
5,C8749,L5,TypeC,30.79,1.29,0.7942121113019858,0.4208646877885286,1.0,1.0,79.34798053377278,Review,Risk score: 79.35/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7536363494790272,1,0.6699999999999999,1,0.25,0,0.8372726989580546,1,4,1,10.0,50,39.24593887815544,13.528896731952592,64.9629810243583,-20.75406112184456,20.75406112184456,24.40593887815544,0.1452734457033062,1.644605045697806,0.0178571428571428,0.1274163028461633,True,False,True,10.754061121844558,-14.9629810243583,HIGH,PREDICTED_FAILURE,True
5,C1331,L1,TypeB,31.98,1.28,0.755383612001659,0.46584322683265933,1.0,1.0,79.30758903086625,Review,Risk score: 79.31/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7457861123833225,1,0.8424999999999998,1,1.0,1,0.6490722247666452,1,2,1,10.0,50,34.133301976943244,8.416259830740394,59.850344123146094,-25.86669802305676,25.86669802305676,25.433301976943245,0.1513887022437098,2.92336804332681,0.0178571428571428,0.1335315593865669,True,False,True,15.866698023056756,-9.850344123146094,HIGH,PREDICTED_FAILURE,True
5,C572,L1,TypeC,25.18,1.11,0.7366501072473545,0.4839259244734959,1.0,1.0,79.19765132925804,Review,Risk score: 79.20/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.719023962734316,1,0.8424999999999998,1,1.0,1,0.5955479254686323,1,2,1,10.0,50,49.54555643316805,23.8285142869652,75.2625985793709,-10.454443566831948,10.454443566831948,35.035556433168054,0.2085449787688574,2.414580043636668,0.0178571428571428,0.1906878359117146,True,False,True,0.454443566831948,-25.262598579370906,HIGH,PREDICTED_FAILURE,True
5,C1560,L1,TypeA,34.18,1.07,0.7374776340355945,0.480914545194857,1.0,1.0,79.14719265093927,Review,Risk score: 79.15/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7202061438603733,1,0.8424999999999998,1,1.0,1,0.5979122877207469,1,2,1,10.0,50,36.211735025235136,10.494692879032286,61.92877717143799,-23.788264974764864,23.788264974764864,28.121735025235136,0.1673912799121139,3.476110633527211,0.0178571428571428,0.149534137054971,True,False,True,13.788264974764864,-11.928777171437986,HIGH,PREDICTED_FAILURE,True
5,C2446,L2,TypeC,26.73,1.28,0.7366492161876428,0.48165723795811966,1.0,1.0,79.14090743458227,Review,Risk score: 79.14/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7190226897918708,1,0.8186275614754095,1,1.0,1,0.6194178181083322,1,2,1,10.0,50,36.5262225527673,10.809180406564453,62.24326469897015,-23.4737774472327,23.4737774472327,28.3662225527673,0.168846562814091,3.476252763819522,0.0178571428571428,0.1509894199569482,True,False,True,13.4737774472327,-12.243264698970153,HIGH,PREDICTED_FAILURE,True
5,C4326,L3,TypeC,33.58,1.04,0.7569618845933189,0.4532574646622427,1.0,1.0,79.04029315435564,Review,Risk score: 79.04/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7480407875142652,1,0.8424999999999998,1,1.0,1,0.6535815750285304,1,2,1,10.0,50,30.21092777088785,4.493885624684996,55.92796991709069,-29.789072229112158,29.789072229112158,22.21092777088785,0.1322079033981419,2.7763659713609807,0.0178571428571428,0.1143507605409991,True,False,True,19.789072229112158,-5.927969917090692,HIGH,PREDICTED_FAILURE,True
5,C7561,L4,TypeB,32.04,1.03,0.7714028491465799,0.4329519245211937,1.0,1.0,78.96588358742723,Review,Risk score: 78.97/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7686707368760666,1,0.8424999999999998,1,1.0,1,0.6948414737521333,1,2,1,10.0,50,31.888935601568217,6.171893455365368,57.60597774777106,-28.111064398431783,28.111064398431783,21.57893560156822,0.1284460452474298,2.0930102426351325,0.0178571428571428,0.110588902390287,True,False,True,18.111064398431783,-7.605977747771064,HIGH,PREDICTED_FAILURE,True
5,C5124,L3,TypeB,33.81,1.22,0.7348955961820017,0.4741630964340081,1.0,1.0,78.90094529631025,Review,Risk score: 78.90/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.6212794231171455,1,0.5917451620054568,1,1.0,1,0.6508136842288342,1,3,1,10.0,50,34.707527297767626,8.990485151564776,60.42456944397048,-25.292472702232374,25.292472702232374,26.58752729776763,0.1582590910581406,3.2743260218925654,0.0178571428571428,0.1404019482009978,True,False,True,15.292472702232374,-10.424569443970476,HIGH,PREDICTED_FAILURE,True
5,C117,L1,TypeC,25.02,1.23,0.7262176281074313,0.4786503545312456,1.0,1.0,78.75278770650408,Review,Risk score: 78.75/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7041204211058543,1,0.8424999999999998,1,1.0,1,0.5657408422117088,1,2,1,10.0,50,37.12922602821223,11.41218388200938,62.84626817441508,-22.87077397178777,22.87077397178777,28.30922602821223,0.1685072977869775,3.209662814990049,0.0178571428571428,0.1506501549298347,True,False,True,12.87077397178777,-12.84626817441508,HIGH,PREDICTED_FAILURE,True
5,C1897,L1,TypeA,30.85,1.22,0.7307762709973765,0.47060825229615766,1.0,1.0,78.68849443732523,Review,Risk score: 78.69/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.615394672853395,1,0.579272390202703,1,1.0,1,0.651516955504087,1,4,1,10.0,50,33.8828687938718,8.16582664766895,59.59991094007465,-26.1171312061282,26.1171312061282,25.7828687938718,0.1534694571063797,3.1830702214656545,0.0178571428571428,0.1356123142492369,True,False,True,16.1171312061282,-9.59991094007465,HIGH,PREDICTED_FAILURE,True
5,C6677,L4,TypeC,29.96,1.23,0.7707947586310905,0.4221977328593113,1.0,1.0,78.67878608041549,Review,Risk score: 78.68/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7678020361396531,1,0.8424999999999998,1,1.0,1,0.6931040722793066,1,2,1,10.0,50,36.83552420605491,11.118482059852065,62.55256635225776,-23.164475793945087,23.164475793945087,23.335524206054917,0.1389019297979459,1.7285573485966603,0.0178571428571428,0.121044786940803,True,False,True,13.164475793945089,-12.552566352257765,HIGH,PREDICTED_FAILURE,True
5,C8101,L5,TypeA,26.59,1.01,0.7283576311093353,0.47092977337059505,1.0,1.0,78.62397326754494,Review,Risk score: 78.62/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7071775682514314,1,0.8424999999999998,1,1.0,1,0.571855136502863,1,2,1,10.0,50,44.75919076913812,19.042148622935272,70.47623291534097,-15.240809230861878,15.240809230861878,31.34919076913812,0.1866023260067745,2.337747260934983,0.0178571428571428,0.1687451831496317,True,False,True,5.240809230861878,-20.47623291534097,HIGH,PREDICTED_FAILURE,True
