component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,absolute_limit_uA,ground_truth,static_pass_168h,drift_0_24_uA_per_h,drift_24_96_uA_per_h,drift_96_168_uA_per_h,overall_drift_uA_per_h,lot_baseline_mean_uA,lot_baseline_std_uA,iddq_24h_zscore,iddq_96h_zscore,iddq_168h_zscore
C080205,LOT-008,IC_A,123.39,3.333,8.832,9.124,9.161,9.883,50.0,Normal,True,0.012166666666666659,0.0005138888888888755,0.010027777777777771,0.006255952380952372,11.11735,3.8795692423918693,-0.5138070428589748,-0.5042699015713025,-0.3181667661740167
C090032,LOT-009,IC_A,124.73,3.292,10.919,10.827,11.126,11.474,50.0,Normal,True,-0.0038333333333333552,0.004152777777777771,0.004833333333333344,0.003303571428571427,11.39196,3.751426574663322,-0.15059870925254681,-0.07089569653215691,0.02186901392501966
C030009,LOT-003,IC_A,125.39,3.3,10.112,9.924,10.246,10.415,50.0,Normal,True,-0.007833333333333359,0.004472222222222235,0.002347222222222204,0.0018035714285714228,11.715506,3.855729485024512,-0.46463477454996066,-0.3811226917519752,-0.3372918159977535
C070361,LOT-007,IC_A,125.27,3.298,21.385,21.522,21.87,22.122,50.0,High_Stable,True,0.005708333333333204,0.004833333333333368,0.0034999999999999845,0.004386904761904752,10.989696,3.957974929515009,2.6610335304197026,2.7489572808722214,2.8126262036136995
C020417,LOT-002,IC_A,126.07,3.267,8.734,8.865,9.316,9.797,50.0,Normal,True,0.005458333333333343,0.006263888888888896,0.006680555555555554,0.006327380952380956,11.022252,4.154165292215281,-0.5192985469409686,-0.41073281392953687,-0.29494541353375286
C080259,LOT-008,IC_A,123.37,3.328,11.508,11.571,12.178,12.79,50.0,Normal,True,0.0026250000000000253,0.008430555555555571,0.008499999999999976,0.0076309523809523815,11.11735,3.8795692423918693,0.11693308500412561,0.27339375423702417,0.4311432263466345
C020058,LOT-002,IC_A,125.92,3.271,9.092,9.133,9.604,9.867,50.0,Normal,True,0.0017083333333332746,0.006541666666666668,0.003652777777777801,0.00461309523809524,11.022252,4.154165292215281,-0.4547849849740871,-0.34140480703975384,-0.2780948563035971
C030132,LOT-003,IC_A,125.67,3.306,9.123,8.992,9.002,9.347,50.0,Normal,True,-0.005458333333333269,0.00013888888888888593,0.004791666666666651,0.0013333333333333346,11.715506,3.855729485024512,-0.7063529769341909,-0.7037594339901541,-0.6142822024208845
C060219,LOT-006,IC_A,127.4,3.309,10.797,13.779,18.263,43.957,50.0,Latent_Defect,True,0.12424999999999997,0.0622777777777778,0.3568611111111111,0.19738095238095235,11.337624,3.811839389807939,0.6404718956752818,1.81680687242936,8.557384680796728
C080488,LOT-008,IC_A,123.3,3.338,20.095,20.472,20.946,21.257,50.0,High_Stable,True,0.015708333333333435,0.006583333333333336,0.0043194444444444435,0.006916666666666682,11.11735,3.8795692423918693,2.4112599661277296,2.5334384788400754,2.6136020177715933
C040289,LOT-004,IC_A,126.34,3.265,21.236,21.442,21.803,22.29,50.0,High_Stable,True,0.008583333333333313,0.005013888888888898,0.006763888888888865,0.006273809523809515,10.701696,3.832831406253284,2.80218534592394,2.8963715914788652,3.023431706673459
C070365,LOT-007,IC_A,125.3,3.295,8.462,8.682,8.945,9.202,50.0,Normal,True,0.009166666666666693,0.0036527777777777765,0.0035694444444444398,0.004404761904761906,10.989696,3.957974929515009,-0.5830496759318214,-0.5166015541817863,-0.4516693591636913
C020350,LOT-002,IC_A,126.18,3.268,10.226,10.307,10.631,10.776,50.0,Normal,True,0.00337499999999998,0.004499999999999998,0.0020138888888888828,0.0032738095238095174,11.022252,4.154165292215281,-0.17217706799976149,-0.09418306024875524,-0.05927833455771856
C070359,LOT-007,IC_A,125.22,3.289,20.361,20.356,20.269,20.702,50.0,High_Stable,True,-0.00020833333333329188,-0.0012083333333333791,0.006013888888888936,0.0020297619047619114,10.989696,3.957974929515009,2.3664384355127037,2.3444574978995734,2.453856877054575
